"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://kerkarmedia.com/seo-for-restaurants/","1","SEO for Restaurants | Guide to Ranking Higher In [2026]","55","490","Indexable",""
"https://kerkarmedia.com/what-is-linkedin-marketing/","1","What Is LinkedIn Marketing? Updated Guide [2026]","48","447","Indexable",""
"https://kerkarmedia.com/importance-of-digital-marketing/","1","Importance of Digital Marketing: Updated For 2026","49","450","Indexable",""
"https://kerkarmedia.com/social-media-management-tools/","1","Best Social Media Management Tools: Updated 2026","48","471","Indexable",""
"https://kerkarmedia.com/internal-linking-strategy-b2b-seo-2026/","1","Internal Linking Strategy: How to Structure a B2B Website for SEO in 2026","73","654","Indexable",""
"https://kerkarmedia.com/digital-marketing-trends/","1","Digital Marketing Trends You Cannot Ignore in 2026","50","458","Indexable",""
"https://kerkarmedia.com/social-media-marketing-strategy/","1","Why Your Business Needs a Social Media Marketing Strategy in 2026","65","611","Indexable",""
"https://kerkarmedia.com/seo-for-hotels/","1","SEO for Hotels | Ultimate Guide to Driving Direct Bookings","58","513","Indexable",""
"https://kerkarmedia.com/lead-generation-for-manufacturing-company/","1","Lead Generation for Manufacturing Company: Updated [2026]","57","546","Indexable",""
"https://kerkarmedia.com/seo-for-law-firms/","1","SEO for Law Firms: The Complete 2026 Strategy Guide","51","487","Indexable",""
"https://kerkarmedia.com/complete-eeat-guide/","1","The Complete E-E-A-T Guide for 2026: Building Trust Signals That Google Rewards","79","731","Indexable",""
"https://kerkarmedia.com/seo-for-industrial-suppliers-distributors/","1","SEO for Industrial Suppliers and Distributors: Get Found by B2B Buyers Online","77","684","Indexable",""
"https://kerkarmedia.com/schema-markup-guide/","1","Schema Markup Guide 2026: Every Type, When to Use It, and How to Implement","74","708","Indexable",""
"https://kerkarmedia.com/seo-for-b2b-marketing/","1","SEO for B2B Marketing: The Complete Strategy Guide (2026)","57","538","Indexable",""
"https://kerkarmedia.com/facebook-marketing-strategy-for-business/","1","How to Create a Facebook Marketing Strategy for Your Business in 7 Steps","72","664","Indexable",""
"https://kerkarmedia.com/on-page-seo-complete-guide-2026/","1","On-Page SEO: The Complete 2026 Guide [Title Tags, Meta Descriptions, Headings, Internal Links]","94","858","Indexable",""
"https://kerkarmedia.com/how-to-rank-in-chatgpt-perplexity-ai-overviews/","1","How to Rank in ChatGPT, Perplexity & Google AI Overviews: The 2026 Playbook","75","702","Indexable",""
"https://kerkarmedia.com/the-importance-of-digital-marketing-for-small-businesses-in-2020/","1","The Importance of Digital Marketing for Small Businesses in 2026","64","583","Indexable",""
"https://kerkarmedia.com/how-to-optimise-linkedin-profile/","1","How to Optimise Your LinkedIn Profile in 2026 | Kerkar Media","60","543","Indexable",""
"https://kerkarmedia.com/seo-for-saas/","1","SEO for SaaS | Ultimate Guide to Rank and Grow in [2026]","56","509","Indexable",""
"https://kerkarmedia.com/benefits-of-seo-for-small-business/","1","12 Benefits Of SEO For Small Business [Updated 2026]","52","483","Indexable",""
"https://kerkarmedia.com/301-vs-302-redirects-seo-guide/","1","301 vs 302 Redirects: SEO Impact, When to Use Each, and How to Implement","72","681","Indexable",""
"https://kerkarmedia.com/media-strategy/","1","How to Create an ROI-Focused Media Strategy in 8 Steps","54","505","Indexable",""
"https://kerkarmedia.com/best-seo-tools-2026/","1","Best SEO Tools in 2026: What a Mumbai SEO Agency Actually Uses","62","594","Indexable",""
"https://kerkarmedia.com/seo-for-exporters-indian-manufacturers/","1","SEO for Exporters India | Step-by-Step Guide 2026","49","440","Indexable",""
"https://kerkarmedia.com/google-my-business-seo/","1","Google My Business SEO | How to Build Your GMB Profile 2026","59","555","Indexable",""
"https://kerkarmedia.com/b2b-lead-generation-complete-guide/","1","B2B Lead Generation: The Complete Guide for 2026","48","460","Indexable",""
"https://kerkarmedia.com/seo-for-dentists/","1","SEO for Dentists | Grow Your Dental Practice Online [2026]","58","517","Indexable",""
"https://kerkarmedia.com/internal-linking-strategy-b2b-seo/","1","Internal Linking Strategy: How to Structure a B2B Website for SEO","65","584","Indexable",""
"https://kerkarmedia.com/what-is-aeo-answer-engine-optimization/","1","What Is AEO (Answer Engine Optimization) & Why It Matters","57","533","Indexable",""
"https://kerkarmedia.com/digital-marketing-courses-in-mumbai/","1","Digital Marketing Courses in Mumbai: What to Look for and Where to Start","72","660","Indexable",""
"https://kerkarmedia.com/google-my-business/","1","Google My Business: The Complete Guide to Google Business Profile in 2026","73","682","Indexable",""
"https://kerkarmedia.com/seo-for-schools/","1","SEO for Schools | Increase Enrolments 7x With Google in 2026","60","550","Indexable",""
